member_number,member_seed,epoch,training_mae,development_mae,learning_rate,gradient_updates_this_epoch,cumulative_gradient_updates,maximum_raw_gradient_norm,training_seconds,development_seconds,improved,best_epoch,best_development_mae,epochs_without_improvement
1,20260720,1,0.2834232862091715,0.2407074735313439,0.001,719,719,56.20434188842773,108.49676872599956,10.024702421000256,True,1,0.2407074735313439,0
1,20260720,2,0.2375550151751638,0.22556599690389,0.001,719,1438,7.728429794311523,108.498940124,9.91317415100002,True,2,0.22556599690389,0
1,20260720,3,0.223284408105413,0.2163642584880449,0.001,719,2157,11.516216278076172,108.60779990500032,9.697508258000198,True,3,0.2163642584880449,0
1,20260720,4,0.2188367652291822,0.2196339800488474,0.001,719,2876,6.8866167068481445,108.61808570199992,9.759911401999489,False,3,0.2163642584880449,1
1,20260720,5,0.2137807370336089,0.2349996467351447,0.001,719,3595,6.002625465393066,108.71495728199989,9.91530894800053,False,3,0.2163642584880449,2
1,20260720,6,0.2113813103926539,0.2217473133329059,0.001,719,4314,5.6493000984191895,109.15423496199946,9.74027332300011,False,3,0.2163642584880449,3
1,20260720,7,0.2101829119977332,0.2190065278449125,0.0005,719,5033,5.743130207061768,108.63422032899962,9.769190633000107,False,3,0.2163642584880449,4
1,20260720,8,0.2035607315586325,0.2053779273438376,0.0005,719,5752,5.220156669616699,108.80748561099972,9.655994228000054,True,8,0.2053779273438376,0
1,20260720,9,0.2025387354835658,0.2114295737622697,0.0005,719,6471,4.869023323059082,108.69705935599995,9.75102138800048,False,8,0.2053779273438376,1
1,20260720,10,0.2028335092263409,0.2100015655086777,0.0005,719,7190,5.3529953956604,108.83746770299967,9.671182402999875,False,8,0.2053779273438376,2
1,20260720,11,0.2021354189957843,0.2051506579679676,0.0005,719,7909,4.029871463775635,108.74015239399978,9.846614709999812,True,11,0.2051506579679676,0
1,20260720,12,0.2015185788502261,0.2153025273025696,0.0005,719,8628,7.417309284210205,108.83783374900032,9.692570559999696,False,11,0.2051506579679676,1
1,20260720,13,0.2005243939018297,0.2088821217263516,0.0005,719,9347,5.59965705871582,108.87074325999949,9.76803439699961,False,11,0.2051506579679676,2
1,20260720,14,0.1999841357945372,0.2149015476952375,0.0005,719,10066,4.281553268432617,108.82164335500056,9.693764222000029,False,11,0.2051506579679676,3
1,20260720,15,0.2001146727670634,0.2066031317898188,0.00025,719,10785,3.800342321395874,108.86057123800038,9.709850229999574,False,11,0.2051506579679676,4
1,20260720,16,0.1970122920271175,0.2071455610166192,0.00025,719,11504,4.285364627838135,108.8458382079998,9.773405029999594,False,11,0.2051506579679676,5
1,20260720,17,0.1973294784657334,0.2068927083297302,0.00025,719,12223,4.202529430389404,108.71070832699934,9.580096851000237,False,11,0.2051506579679676,6
1,20260720,18,0.1966487101281165,0.2048880968076011,0.00025,719,12942,4.067906856536865,108.7183865500001,9.75276448600016,True,18,0.2048880968076011,0
1,20260720,19,0.1959553100429072,0.2067979337759057,0.00025,719,13661,4.01879358291626,108.7646389040001,9.691460064999774,False,18,0.2048880968076011,1
1,20260720,20,0.1965641680800312,0.2078147183093516,0.00025,719,14380,3.663563489913941,108.84650294099993,9.849416620000738,False,18,0.2048880968076011,2
1,20260720,21,0.1963034573841978,0.2069331032657159,0.00025,719,15099,4.707573413848877,108.98546808599986,9.640722662999906,False,18,0.2048880968076011,3
1,20260720,22,0.195634153740606,0.2100928303855255,0.000125,719,15818,4.05838680267334,108.73057102799976,9.829709908999575,False,18,0.2048880968076011,4
1,20260720,23,0.1942359841510602,0.2080924414658273,0.000125,719,16537,3.438744306564331,108.92711580100058,9.773982820000128,False,18,0.2048880968076011,5
